id,棟別,樓層,站點,搬運超過未啟動時間,搬運未啟動台數,搬運輸出內文,烘烤超時,烘烤超時台數,烘烤超時內文,created_at
318,K11,8F,3910,40分鐘,1,3910-803: 125分</br>,0,0,N/A,2025-10-08 18:46:10
319,K11,8F,4507,40分鐘,1,4507-806: 42分</br>,0,0,N/A,2025-10-08 18:46:10
324,K11,8F,3910,40分鐘,1,3910-803: 132分</br>,0,0,N/A,2025-10-08 18:53:48
325,K11,8F,4507,40分鐘,1,4507-806: 49分</br>,0,0,N/A,2025-10-08 18:53:48
330,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-08 19:08:05
336,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-08 20:08:05
342,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-09 09:08:05
348,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-09 11:08:05
354,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-09 20:08:04
360,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-09 22:08:05
366,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-10 08:08:05
372,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-10 09:08:04
378,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-10 10:08:04
384,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-10 11:08:05
390,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-10 12:08:05
396,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-10 13:08:05
402,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-10 14:08:05
408,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-10 15:08:05
414,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-10 16:08:05
420,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-10 17:08:04
424,K11,8F,3260,60分鐘,2,3260-A02: 96分</br>3260-A08: 78分</br>,5.5H,0,N/A,2025-10-10 18:08:05
426,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-10 18:08:05
432,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-10 19:08:06
438,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-10 20:08:05
444,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-10 21:08:04
450,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-10 22:08:04
456,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-10 23:08:05
460,K11,8F,3260,60分鐘,2,3260-A17: 67分</br>3260-A18: 65分</br>,5.5H,1,3260-A15: 332分</br>,2025-10-11 00:08:04
462,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 00:08:04
466,K11,8F,3260,60分鐘,2,3260-A18: 125分</br>3260-A21: 95分</br>,5.5H,2,3260-A13: 368分</br>3260-A19: 350分</br>,2025-10-11 01:08:04
468,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 01:08:04
474,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 02:08:04
480,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 03:08:05
486,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 04:08:05
492,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 05:08:04
498,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 06:08:05
504,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 07:08:05
508,K11,8F,3260,60分鐘,1,3260-A20: 66分</br>,5.5H,0,N/A,2025-10-11 08:08:05
510,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 08:08:05
516,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 09:08:05
522,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 10:08:05
528,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 11:08:05
534,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 12:08:05
540,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 13:08:05
546,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 14:08:05
552,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 15:08:05
558,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 16:08:05
562,K11,8F,3260,60分鐘,1,3260-A18: 63分</br>,5.5H,0,N/A,2025-10-11 17:08:05
564,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 17:08:05
570,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 18:08:04
576,K11,8F,3910,40分鐘,1,3910-803: 146分</br>,0,0,N/A,2025-10-11 19:08:05
582,K11,8F,3910,40分鐘,4,3910-823: 51分</br>3910-804: 47分</br>3910-812: 44分</br>3910-820: 44分</br>,0,0,N/A,2025-10-11 20:08:05
583,K11,8F,4507,40分鐘,1,4507-804: 46分</br>,0,0,N/A,2025-10-11 20:08:05
588,K11,8F,3910,40分鐘,2,3910-803: 48分</br>3910-814: 41分</br>,0,0,N/A,2025-10-11 21:08:06
594,K11,8F,3910,40分鐘,7,3910-814: 102分</br>3910-804: 88分</br>3910-813: 87分</br>3910-817: 82分</br>3910-803: 75分</br>3910-808: 43分</br>3910-825: 43分</br>,0,0,N/A,2025-10-11 22:08:05
600,K11,8F,3910,40分鐘,5,3910-803: 77分</br>3910-819: 77分</br>3910-808: 74分</br>3910-807: 72分</br>3910-811: 58分</br>,0,0,N/A,2025-10-11 23:08:05
606,K11,8F,3910,40分鐘,5,3910-811: 80分</br>3910-825: 66分</br>3910-807: 51分</br>3910-817: 48分</br>3910-803: 46分</br>,0,0,N/A,2025-10-12 00:08:05
612,K11,8F,3910,40分鐘,6,3910-817: 103分</br>3910-809: 93分</br>3910-808: 79分</br>3910-811: 71分</br>3910-813: 57分</br>3910-803: 50分</br>,0,0,N/A,2025-10-12 01:08:05
618,K11,8F,3910,40分鐘,7,3910-817: 162分</br>3910-809: 152分</br>3910-808: 139分</br>3910-811: 130分</br>3910-813: 117分</br>3910-803: 110分</br>3910-819: 68分</br>,0,0,N/A,2025-10-12 02:08:05
624,K11,8F,3910,40分鐘,2,3910-809: 212分</br>3910-819: 63分</br>,0,0,N/A,2025-10-12 03:08:05
630,K11,8F,3910,40分鐘,2,3910-819: 124分</br>3910-807: 44分</br>,0,0,N/A,2025-10-12 04:08:05
636,K11,8F,3910,40分鐘,2,3910-819: 183分</br>3910-807: 104分</br>,0,0,N/A,2025-10-12 05:08:05
642,K11,8F,3910,40分鐘,1,3910-823: 45分</br>,0,0,N/A,2025-10-12 06:08:06
648,K11,8F,3910,40分鐘,1,3910-823: 105分</br>,0,0,N/A,2025-10-12 07:08:05
654,K11,8F,3910,40分鐘,4,3910-823: 165分</br>3910-811: 43分</br>3910-807: 42分</br>3910-817: 42分</br>,0,0,N/A,2025-10-12 08:08:05
660,K11,8F,3910,40分鐘,5,3910-823: 225分</br>3910-820: 61分</br>3910-805: 44分</br>3910-819: 44分</br>3910-814: 41分</br>,0,0,N/A,2025-10-12 09:08:05
666,K11,8F,3910,40分鐘,13,3910-823: 285分</br>3910-820: 121分</br>3910-805: 104分</br>3910-815: 87分</br>3910-814: 84分</br>3910-818: 82分</br>3910-825: 77分</br>3910-807: 69分</br>3910-810: 69分</br>3910-811: 65分</br>3910-816: 64分</br>3910-804: 52分</br>3910-819: 51分</br>,0,0,N/A,2025-10-12 10:08:05
670,K11,8F,3260,60分鐘,2,3260-A09: 92分</br>3260-A11: 98分</br>,5.5H,1,3260-A04: 337分</br>,2025-10-12 11:08:05
672,K11,8F,3910,40分鐘,10,3910-823: 345分</br>3910-805: 164分</br>3910-818: 142分</br>3910-825: 137分</br>3910-814: 136分</br>3910-815: 131分</br>3910-810: 129分</br>3910-811: 124分</br>3910-816: 124分</br>3910-804: 112分</br>,0,0,N/A,2025-10-12 11:08:05
676,K11,8F,3260,60分鐘,2,3260-A09: 152分</br>3260-A11: 158分</br>,5.5H,3,3260-A03: 352分</br>3260-A04: 397分</br>3260-A07: 356分</br>,2025-10-12 12:08:05
678,K11,8F,3910,40分鐘,4,3910-823: 405分</br>3910-816: 73分</br>3910-811: 63分</br>3910-814: 58分</br>,0,0,N/A,2025-10-12 12:08:05
679,K11,8F,4507,40分鐘,1,4507-806: 98分</br>,0,0,N/A,2025-10-12 12:08:05
682,K11,8F,3260,60分鐘,2,3260-A09: 212分</br>3260-A11: 218分</br>,5.5H,5,3260-A01: 380分</br>3260-A03: 412分</br>3260-A04: 457分</br>3260-A07: 416分</br>3260-A10: 352分</br>,2025-10-12 13:08:05
684,K11,8F,3910,40分鐘,1,3910-817: 50分</br>,0,0,N/A,2025-10-12 13:08:05
685,K11,8F,4507,40分鐘,1,4507-806: 158分</br>,0,0,N/A,2025-10-12 13:08:05
690,K11,8F,3910,40分鐘,3,3910-825: 54分</br>3910-817: 49分</br>3910-818: 40分</br>,0,0,N/A,2025-10-12 14:08:05
691,K11,8F,4507,40分鐘,1,4507-806: 218分</br>,0,0,N/A,2025-10-12 14:08:05
720,K11,8F,3910,40分鐘,9,3910-809: 76分</br>3910-805: 75分</br>3910-807: 74分</br>3910-810: 73分</br>3910-813: 68分</br>3910-818: 52分</br>3910-801: 50分</br>3910-808: 49分</br>3910-824: 45分</br>,0,0,N/A,2025-10-12 19:08:05
721,K11,8F,4507,40分鐘,5,4507-805: 77分</br>4507-803: 75分</br>4507-801: 70分</br>4507-806: 60分</br>4507-804: 54分</br>,0,0,N/A,2025-10-12 19:08:05
726,K11,8F,3910,40分鐘,5,3910-824: 71分</br>3910-804: 54分</br>3910-816: 44分</br>3910-805: 41分</br>3910-818: 41分</br>,0,0,N/A,2025-10-12 20:08:05
727,K11,8F,4507,40分鐘,3,4507-801: 75分</br>4507-805: 66分</br>4507-803: 56分</br>,0,0,N/A,2025-10-12 20:08:05
732,K11,8F,3910,40分鐘,1,3910-823: 43分</br>,0,0,N/A,2025-10-12 21:08:05
738,K11,8F,3910,40分鐘,6,3910-823: 86分</br>3910-805: 53分</br>3910-811: 53分</br>3910-818: 51分</br>3910-824: 42分</br>3910-808: 41分</br>,0,0,N/A,2025-10-12 22:08:05
739,K11,8F,4507,40分鐘,1,4507-801: 50分</br>,0,0,N/A,2025-10-12 22:08:05
750,K11,8F,3910,40分鐘,3,3910-801: 43分</br>3910-825: 43分</br>3910-808: 42分</br>,0,0,N/A,2025-10-13 00:08:05
756,K11,8F,3910,40分鐘,9,3910-804: 72分</br>3910-807: 72分</br>3910-811: 72分</br>3910-819: 72分</br>3910-805: 66分</br>3910-824: 66分</br>3910-818: 61分</br>3910-823: 47分</br>3910-809: 40分</br>,0,0,N/A,2025-10-13 01:08:05
757,K11,8F,4507,40分鐘,5,4507-805: 73分</br>4507-804: 66分</br>4507-803: 61分</br>4507-802: 58分</br>4507-801: 53分</br>,0,0,N/A,2025-10-13 01:08:05
768,K11,8F,3910,40分鐘,5,3910-820: 105分</br>3910-812: 96分</br>3910-823: 66分</br>3910-804: 64分</br>3910-809: 49分</br>,0,0,N/A,2025-10-13 03:08:05
769,K11,8F,4507,40分鐘,1,4507-804: 122分</br>,0,0,N/A,2025-10-13 03:08:05
774,K11,8F,3910,40分鐘,4,3910-812: 156分</br>3910-823: 116分</br>3910-809: 109分</br>3910-808: 78分</br>,0,0,N/A,2025-10-13 04:08:05
775,K11,8F,4507,40分鐘,1,4507-804: 182分</br>,0,0,N/A,2025-10-13 04:08:05
781,K11,8F,4507,40分鐘,1,4507-804: 242分</br>,0,0,N/A,2025-10-13 05:08:06
792,K11,8F,3910,40分鐘,4,3910-803: 42分</br>3910-814: 42分</br>3910-823: 40分</br>3910-824: 40分</br>,0,0,N/A,2025-10-13 07:08:05
798,K11,8F,3910,40分鐘,2,3910-823: 100分</br>3910-820: 90分</br>,0,0,N/A,2025-10-13 08:08:05
811,K11,8F,3910,40分鐘,1,3910-813: 62分</br>,0,0,N/A,2025-10-17 09:08:05
818,K11,8F,3910,40分鐘,2,3910-813: 122分</br>3910-807: 47分</br>,0,0,N/A,2025-10-17 10:08:05
825,K11,8F,3910,40分鐘,1,3910-813: 182分</br>,0,0,N/A,2025-10-17 11:08:05
832,K11,8F,3910,40分鐘,1,3910-813: 242分</br>,0,0,N/A,2025-10-17 12:08:05
837,K11,8F,3260,60分鐘,1,3260-A04: 71分</br>,5.5H,0,N/A,2025-10-17 13:08:04
839,K11,8F,3910,40分鐘,4,3910-808: 52分</br>3910-817: 52分</br>3910-825: 50分</br>3910-813: 44分</br>,0,0,N/A,2025-10-17 13:08:04
844,K11,8F,3260,60分鐘,1,3260-A08: 70分</br>,5.5H,0,N/A,2025-10-17 14:08:05
853,K11,8F,3910,40分鐘,1,3910-825: 52分</br>,0,0,N/A,2025-10-17 15:08:05
860,K11,8F,3910,40分鐘,8,3910-825: 108分</br>3910-812: 99分</br>3910-817: 86分</br>3910-816: 79分</br>3910-818: 75分</br>3910-803: 70分</br>3910-811: 65分</br>3910-805: 55分</br>,0,0,N/A,2025-10-17 16:08:06
874,K11,8F,3910,40分鐘,8,3910-825: 108分</br>3910-812: 99分</br>3910-817: 86分</br>3910-816: 79分</br>3910-818: 75分</br>3910-803: 70分</br>3910-811: 65分</br>3910-805: 55分</br>,0,0,N/A,2025-10-17 16:35:01
881,K11,8F,3910,40分鐘,8,3910-825: 108分</br>3910-812: 99分</br>3910-817: 86分</br>3910-816: 79分</br>3910-818: 75分</br>3910-803: 70分</br>3910-811: 65分</br>3910-805: 55分</br>,0,0,N/A,2025-10-17 16:45:12
888,K11,8F,3910,40分鐘,8,3910-825: 108分</br>3910-812: 99分</br>3910-817: 86分</br>3910-816: 79分</br>3910-818: 75分</br>3910-803: 70分</br>3910-811: 65分</br>3910-805: 55分</br>,0,0,N/A,2025-10-17 16:50:54
898,K11,8F,4507,40分鐘,1,4507-804: 79分</br>,0,0,N/A,2025-10-17 17:08:05
904,K11,8F,3910,40分鐘,2,3910-812: 51分</br>3910-803: 47分</br>,0,0,N/A,2025-10-17 18:08:06
908,K11,5F,3390,40分鐘,1,3390-411: 46分</br>,40分鐘,0,N/A,2025-10-17 18:18:33
909,K11,5F,3390,40分鐘,1,3390-411: 46分</br>,40分鐘,0,N/A,2025-10-17 18:18:55
913,K11,8F,3910,40分鐘,8,3910-825: 108分</br>3910-812: 99分</br>3910-817: 86分</br>3910-816: 79分</br>3910-818: 75分</br>3910-803: 70分</br>3910-811: 65分</br>3910-805: 55分</br>,0,0,N/A,2025-10-17 18:18:55
958,K11,5F,3390,40分鐘,2,3390-K06: 60分</br>3390-T01: 54分</br>,40分鐘,0,N/A,2025-10-18 01:08:06
979,K11,5F,3390,40分鐘,3,3390-404: 65分</br>3390-K03: 49分</br>3390-T01: 75分</br>,40分鐘,0,N/A,2025-10-18 04:08:05
983,K11,8F,3910,40分鐘,5,3910-807: 69分</br>3910-803: 63分</br>3910-810: 58分</br>3910-801: 48分</br>3910-811: 46分</br>,0,0,N/A,2025-10-18 04:08:05
997,K11,8F,3910,40分鐘,1,3910-815: 53分</br>,0,0,N/A,2025-10-18 06:08:05
1007,K11,5F,3390,40分鐘,1,3390-411: 47分</br>,40分鐘,0,N/A,2025-10-18 08:08:05
1023,K11,8F,3260,60分鐘,1,3260-A13: 62分</br>,5.5H,0,N/A,2025-10-18 10:08:05
1053,K11,8F,3910,40分鐘,3,3910-801: 60分</br>3910-823: 50分</br>3910-820: 40分</br>,0,0,N/A,2025-10-18 14:08:05
1058,K11,8F,3260,60分鐘,1,3260-A09: 71分</br>,5.5H,1,3260-A13: 354分</br>,2025-10-18 15:08:05
1060,K11,8F,3910,40分鐘,1,3910-823: 55分</br>,0,0,N/A,2025-10-18 15:08:05
1067,K11,8F,3910,40分鐘,2,3910-804: 56分</br>3910-816: 46分</br>,0,0,N/A,2025-10-18 16:08:04
1074,K11,8F,3910,40分鐘,7,3910-807: 96分</br>3910-811: 96分</br>3910-812: 94分</br>3910-817: 84分</br>3910-818: 78分</br>3910-805: 76分</br>3910-815: 50分</br>,0,0,N/A,2025-10-18 17:08:05
1079,K11,8F,3260,60分鐘,1,3260-A08: 274分</br>,5.5H,0,N/A,2025-10-18 18:08:06
1081,K11,8F,3910,40分鐘,1,3910-812: 139分</br>,0,0,N/A,2025-10-18 18:08:06
1088,K11,8F,3910,40分鐘,1,3910-812: 199分</br>,0,0,N/A,2025-10-18 19:08:05
1089,K11,8F,4507,40分鐘,1,4507-804: 68分</br>,0,0,N/A,2025-10-18 19:08:05
1095,K11,8F,3910,40分鐘,6,3910-812: 259分</br>3910-820: 69分</br>3910-808: 63分</br>3910-823: 46分</br>3910-819: 44分</br>3910-804: 43分</br>,0,0,N/A,2025-10-18 20:08:05
1102,K11,8F,3910,40分鐘,4,3910-812: 319分</br>3910-808: 122分</br>3910-801: 69分</br>3910-815: 49分</br>,0,0,N/A,2025-10-18 21:08:05
1105,K11,5F,3390,40分鐘,1,3390-K06: 44分</br>,40分鐘,0,N/A,2025-10-18 22:08:05
1109,K11,8F,3910,40分鐘,5,3910-808: 183分</br>3910-815: 109分</br>3910-816: 97分</br>3910-807: 89分</br>3910-805: 69分</br>,0,0,N/A,2025-10-18 22:08:05
1114,K11,8F,3260,60分鐘,1,3260-A11: 72分</br>,5.5H,0,N/A,2025-10-18 23:08:05
1116,K11,8F,3910,40分鐘,1,3910-808: 242分</br>,0,0,N/A,2025-10-18 23:08:05
1122,K11,8F,3670,60分鐘,2,3670-809: 61分</br>3670-822: 62分</br>,60分鐘,2,3670-811: 91分</br>3670-826: 116分</br>,2025-10-19 00:08:06
1128,K11,8F,3260,60分鐘,2,3260-A01: 69分</br>3260-A07: 120分</br>,5.5H,2,3260-A04: 362分</br>3260-A08: 338分</br>,2025-10-19 01:08:05
1133,K11,5F,3390,40分鐘,1,3390-K06: 46分</br>,40分鐘,0,N/A,2025-10-19 02:08:05
1135,K11,8F,3260,60分鐘,1,3260-A01: 129分</br>,5.5H,2,3260-A04: 422分</br>3260-A13: 347分</br>,2025-10-19 02:08:05
1147,K11,5F,3390,40分鐘,1,3390-K06: 53分</br>,40分鐘,0,N/A,2025-10-19 04:08:05
1150,K11,8F,3670,60分鐘,2,3670-809: 61分</br>3670-822: 66分</br>,60分鐘,2,3670-811: 211分</br>3670-826: 356分</br>,2025-10-19 04:08:05
1151,K11,8F,3910,40分鐘,3,3910-820: 77分</br>3910-808: 40分</br>3910-812: 40分</br>,0,0,N/A,2025-10-19 04:08:05
1152,K11,8F,4507,40分鐘,1,4507-804: 69分</br>,0,0,N/A,2025-10-19 04:08:05
1157,K11,8F,3670,60分鐘,2,3670-809: 121分</br>3670-822: 126分</br>,60分鐘,2,3670-811: 271分</br>3670-826: 416分</br>,2025-10-19 05:08:06
1158,K11,8F,3910,40分鐘,1,3910-820: 136分</br>,0,0,N/A,2025-10-19 05:08:06
1159,K11,8F,4507,40分鐘,1,4507-804: 129分</br>,0,0,N/A,2025-10-19 05:08:06
1168,K11,5F,3390,40分鐘,1,3390-T01: 56分</br>,40分鐘,0,N/A,2025-10-19 07:08:07
1170,K11,8F,3260,60分鐘,2,3260-A07: 71分</br>3260-A14: 70分</br>,5.5H,0,N/A,2025-10-19 07:08:07
1171,K11,8F,3670,60分鐘,1,3670-826: 91分</br>,60分鐘,0,N/A,2025-10-19 07:08:07
1178,K11,8F,3670,60分鐘,1,3670-826: 151分</br>,60分鐘,0,N/A,2025-10-19 08:08:06
1179,K11,8F,3910,40分鐘,2,3910-815: 79分</br>3910-808: 74分</br>,0,0,N/A,2025-10-19 08:08:06
1182,K11,5F,3390,40分鐘,2,3390-409: 42分</br>3390-K06: 43分</br>,40分鐘,0,N/A,2025-10-19 09:08:06
1191,K11,8F,3260,60分鐘,3,3260-A11: 70分</br>3260-A15: 90分</br>3260-A22: 94分</br>,5.5H,0,N/A,2025-10-19 10:08:06
1205,K11,8F,3260,60分鐘,2,3260-A07: 66分</br>3260-A10: 81分</br>,5.5H,0,N/A,2025-10-19 12:08:06
1212,K11,8F,3260,60分鐘,2,3260-A01: 77分</br>3260-A08: 65分</br>,5.5H,0,N/A,2025-10-19 13:08:05
1213,K11,8F,3670,60分鐘,1,3670-811: 61分</br>,60分鐘,0,N/A,2025-10-19 13:08:05
1214,K11,8F,3910,40分鐘,3,3910-811: 91分</br>3910-825: 64分</br>3910-805: 59分</br>,0,0,N/A,2025-10-19 13:08:05
1217,K11,5F,3390,40分鐘,1,3390-T01: 60分</br>,40分鐘,0,N/A,2025-10-19 14:08:05
1221,K11,8F,3910,40分鐘,5,3910-805: 110分</br>3910-811: 105分</br>3910-823: 54分</br>3910-817: 48分</br>3910-807: 46分</br>,0,0,N/A,2025-10-19 14:08:05
1224,K11,5F,3390,40分鐘,3,3390-411: 64分</br>3390-K06: 73分</br>3390-T01: 53分</br>,40分鐘,0,N/A,2025-10-19 15:08:06
1228,K11,8F,3910,40分鐘,3,3910-801: 89分</br>3910-810: 69分</br>3910-808: 46分</br>,0,0,N/A,2025-10-19 15:08:06
1235,K11,8F,3910,40分鐘,1,3910-814: 68分</br>,0,0,N/A,2025-10-19 16:08:05
1242,K11,8F,3910,40分鐘,1,3910-814: 127分</br>,0,0,N/A,2025-10-19 17:08:05
1249,K11,8F,3910,40分鐘,1,3910-814: 187分</br>,0,0,N/A,2025-10-19 18:08:05
1256,K11,8F,3910,40分鐘,1,3910-814: 248分</br>,0,0,N/A,2025-10-19 19:08:06
1263,K11,8F,3910,40分鐘,2,3910-814: 307分</br>3910-810: 41分</br>,0,0,N/A,2025-10-19 20:08:06
1268,K11,8F,3260,60分鐘,1,3260-A20: 69分</br>,5.5H,0,N/A,2025-10-19 21:08:05
1270,K11,8F,3910,40分鐘,2,3910-814: 364分</br>3910-810: 101分</br>,0,0,N/A,2025-10-19 21:08:05
1280,K11,5F,3390,40分鐘,1,3390-T01: 88分</br>,40分鐘,0,N/A,2025-10-19 23:08:05
1294,K11,5F,3390,40分鐘,1,3390-K06: 41分</br>,40分鐘,0,N/A,2025-10-20 01:08:04
1298,K11,8F,3910,40分鐘,1,3910-808: 90分</br>,0,0,N/A,2025-10-20 01:08:04
1329,K11,5F,3390,40分鐘,1,3390-409: 47分</br>,40分鐘,0,N/A,2025-10-20 06:08:05
1343,K11,5F,3390,40分鐘,2,3390-404: 46分</br>3390-409: 41分</br>,40分鐘,0,N/A,2025-10-20 08:08:06
1354,K11,8F,3910,40分鐘,2,3910-814: 43分</br>3910-818: 41分</br>,0,0,N/A,2025-10-20 09:08:07
1375,K11,8F,3910,40分鐘,1,3910-824: 76分</br>,0,0,N/A,2025-10-20 12:08:06
1380,K11,8F,3260,60分鐘,1,3260-A20: 88分</br>,5.5H,0,N/A,2025-10-20 13:08:07
1389,K11,8F,3910,40分鐘,1,3910-809: 45分</br>,0,0,N/A,2025-10-20 14:08:06
1394,K11,8F,3260,60分鐘,1,3260-A03: 72分</br>,5.5H,0,N/A,2025-10-20 15:08:07
1403,K11,8F,3910,40分鐘,5,3910-811: 70分</br>3910-810: 60分</br>3910-825: 60分</br>3910-807: 45分</br>3910-815: 40分</br>,0,0,N/A,2025-10-20 16:08:08
